MIC,P,conf
0.53578,0.013796208,0.000041741
0.53543,0.01465519,0.000043002
0.53538,0.014938444,0.000043409
0.53238,0.01502424,0.000043532
0.53035,0.015144866,0.000043703
0.53016,0.015411217,0.00004408
0.5296,0.015567442,0.000044299
0.5285,0.016822876,0.000046022
0.52683,0.016924551,0.000046158
0.52509,0.017060031,0.000046339
0.52312,0.017172206,0.000046489
0.52076,0.01728182,0.000046634
0.51948,0.017590428,0.000047041
0.51884,0.018349016,0.000048026
0.51676,0.018463752,0.000048174
0.51669,0.01861716,0.000048369
0.51549,0.0197512,0.000049792
0.51225,0.020036503,0.000050143
0.5115,0.020179154,0.000050318
0.51144,0.020355611,0.000050533
0.51109,0.020505946,0.000050715
0.50913,0.020864751,0.000051147
0.50582,0.021081674,0.000051407
0.50448,0.021265046,0.000051625
0.50367,0.021450211,0.000051845
0.50299,0.02174166,0.000052188
0.50282,0.021915045,0.000052391
0.50259,0.022146309,0.00005266
0.50241,0.022192408,0.000052714
0.50189,0.022242861,0.000052772
0.50184,0.022414453,0.000052971
0.50004,0.022644692,0.000053236
0.49923,0.022815003,0.000053431
0.49907,0.022911556,0.000053541
0.499,0.024890748,0.00005575
0.49767,0.025234187,0.000056123
0.49686,0.026575417,0.000057555
0.49564,0.02690938,0.000057906
0.49559,0.027084813,0.000058089
0.49431,0.02744618,0.000058465
0.49362,0.028004236,0.000059039
0.49356,0.028204255,0.000059243
0.49345,0.028385579,0.000059428
0.49264,0.028689321,0.000059736
0.49159,0.028973087,0.000060022
0.49124,0.029228682,0.000060278
0.49032,0.029520643,0.000060569
0.48968,0.02973859,0.000060786
0.48923,0.029818495,0.000060865
0.48916,0.029975745,0.00006102
0.4882,0.03005898,0.000061102
0.48806,0.03010892,0.000061151
0.48633,0.030276414,0.000061316
0.48568,0.03040498,0.000061442
0.48338,0.030796823,0.000061824
0.48257,0.030932559,0.000061956
0.4825,0.031272925,0.000062285
0.48205,0.031516482,0.000062519
0.48188,0.03159357,0.000062593
0.48106,0.034491417,0.000065302
0.48066,0.03512272,0.000065876
0.47991,0.035216455,0.00006596
0.4799,0.035297897,0.000066034
0.47962,0.038293576,0.000068672
0.47853,0.038382701,0.000068749
0.47747,0.038649564,0.000068978
0.47552,0.038753544,0.000069067
0.47488,0.03902937,0.000069302
0.47413,0.039077775,0.000069343
0.47228,0.041726429,0.000071556
0.47088,0.042136712,0.000071891
0.46887,0.042535982,0.000072216
0.4684,0.042887873,0.000072501
0.46811,0.043497919,0.000072992
0.46644,0.043670279,0.000073129
0.46642,0.0442793,0.000073614
0.46504,0.044713913,0.000073958
0.46445,0.045665093,0.000074703
0.46412,0.046110207,0.000075049
0.46377,0.046502306,0.000075352
0.46359,0.048711226,0.000077031
0.46088,0.049413982,0.000077556
0.45885,0.049836302,0.00007787
0.45873,0.050227377,0.000078158
0.45786,0.05052318,0.000078376
0.45637,0.050728065,0.000078526
0.45549,0.050858936,0.000078622
0.45532,0.051311989,0.000078953
0.45445,0.051750699,0.000079271
0.45295,0.052137676,0.000079551
0.44926,0.05231439,0.000079678
0.44786,0.055561566,0.000081973
0.44711,0.05999554,0.000084981
